"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,5,"DZA","Algeria",1,"Aïn Defla","DZ.AD",NA,"44","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+064A><U+0646> <U+0627><U+0644><U+062F><U+0641><U+0644><U+0649>","Ain Dafla"
2,5,"DZA","Algeria",2,"Aïn Témouchent","DZ.AT",NA,"46","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+064A><U+0646> <U+062A><U+0645><U+0648><U+0634><U+0646><U+062A>","Ain Tamouchent"
3,5,"DZA","Algeria",3,"Adrar","DZ.AR",NA,"1","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0623><U+062F><U+0631><U+0627>","Duperré"
4,5,"DZA","Algeria",4,"Alger","DZ.AL",NA,"16","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631>","Algeri|Algiers|Algier|al-Jazair|al-Djazair|El Djazaïr|Argel|Dzayer|Djezaïr"
5,5,"DZA","Algeria",5,"Annaba","DZ.AN",NA,"23","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+0646><U+0627><U+0628><U+0629>","Anaba|Bona|Bône"
6,5,"DZA","Algeria",6,"Béchar","DZ.BC",NA,"8","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0634><U+0627><U+0631>","Colomb-Béchar|Bechar"
7,5,"DZA","Algeria",7,"Béjaïa","DZ.BJ",NA,"6","Wilaya","Province","<U+0628><U+062C><U+0627><U+064A><U+0629>","Bougie|Bedjaya|Bidjaia|Bugia|Bujia"
8,5,"DZA","Algeria",8,"Batna","DZ.BT",NA,"5","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0627><U+062A><U+0646><U+0629>",""
9,5,"DZA","Algeria",9,"Biskra","DZ.BS",NA,"7","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0633><U+0643><U+0631><U+0629>","Beskra"
10,5,"DZA","Algeria",10,"Blida","DZ.BL",NA,"9","Wilaya","Province","<U+0627><U+0644><U+0628><U+0644><U+064A><U+062F><U+0629>","El Boulaïda|Al-Boulaida"
11,5,"DZA","Algeria",11,"Bordj Bou Arréridj","DZ.BB",NA,"34","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0631><U+062C> <U+0628><U+0648><U+0639><U+0631><U+064A><U+0631><U+064A><U+062C>","Borjbouarirej|Bordi Bou Arreridj"
12,5,"DZA","Algeria",12,"Bouira","DZ.BU",NA,"10","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0628><U+0648><U+064A><U+0631><U+0629>",""
13,5,"DZA","Algeria",13,"Boumerdès","DZ.BM",NA,"35","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0648><U+0645><U+0631><U+062F><U+0627><U+0633>","Boumerdas"
14,5,"DZA","Algeria",14,"Chlef","DZ.CH",NA,"2","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0634><U+0644><U+0641>","El Asnam|Orléansville|Ech Cheliff"
15,5,"DZA","Algeria",15,"Constantine","DZ.CO",NA,"25","Wilaya","Province","<U+0642><U+0633><U+0646><U+0637><U+064A><U+0646><U+0629>","Constantina|Costatina|Qoussantina|Qacentina"
16,5,"DZA","Algeria",16,"Djelfa","DZ.DJ",NA,"17","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0644><U+0641><U+0629>","El Djelfa"
17,5,"DZA","Algeria",17,"El Bayadh","DZ.EB",NA,"32","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0628><U+064A><U+0636>","El Bayad|El Beyyadh|Géryville"
18,5,"DZA","Algeria",18,"El Oued","DZ.EO",NA,"39","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0648><U+0627><U+062F><U+064A>","El Ouadi|El Wad"
19,5,"DZA","Algeria",19,"El Tarf","DZ.ET",NA,"36","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0637><U+0627><U+0631><U+0641>","Et Tarf|El Taref"
